sample	fastq_r1	fastq_r2	group
TA1	TA1_R1_001.fastq.gz	TA1_R2_001.fastq.gz	TAxon
TA2	TA2_R1_001.fastq.gz	TA2_R2_001.fastq.gz	TAxon
TAD	TAD_R1_001.fastq.gz	TAD_R2_001.fastq.gz	TAxon
VA1	VA1_R1_001.fastq.gz	VA1_R2_001.fastq.gz	VAxon
VA2	VA2_R1_001.fastq.gz	VA2_R2_001.fastq.gz	VAxon
VAD	VAD_R1_001.fastq.gz	VAD_R2_001.fastq.gz	VAxon
TS1	TS1_R1_001.fastq.gz	TS1_R2_001.fastq.gz	TSoma
TSB	TSB_R1_001.fastq.gz	TSB_R2_001.fastq.gz	TSoma
TSD	TSD_R1_001.fastq.gz	TSD_R2_001.fastq.gz	TSoma
VS1	VS1_R1_001.fastq.gz	VS1_R2_001.fastq.gz	VSoma
VSB	VSB_R1_001.fastq.gz	VSB_R2_001.fastq.gz	VSoma
VSD	VSD_R1_001.fastq.gz	VSD_R2_001.fastq.gz	VSoma
